name,privacy
Afghanistan,1.4
Albania,3.088235294
Algeria,1.940754039
Angola,1.793103448
Antarctica,0
Argentina,3.566830166
Armenia,3.4
Australia,4.095723014
Austria,3.992111369
Azerbaijan,1.75
Bahamas,3
Bangladesh,1.360714286
Belarus,4.423076923
Belgium,4.170674024
Belize,3.888888889
Benin,2.811111111
Bhutan,1.5
Bolivia,2.851162791
Bosnia and Herzegovina,3.064516129
Botswana,2.6875
Brazil,3.718845551
Brunei Darussalam,3.916666667
Bulgaria,3.626582278
Burkina Faso,2.382352941
Burundi,3.5
Cote D'Ivoire,2.638436482
Cambodia,1.269230769
Cameroon,2.709558824
Canada,3.856081081
Central African Republic,2
Chad,1.5
Chile,3.936485533
China,3.411214953
Colombia,3.732929991
Congo,2.3125
Costa Rica,3.888636364
Croatia,4.166666667
Cuba,2.61682243
Cyprus,3.833333333
Czech Republic,4.146666667
"Congo, The Democratic Republic of the",2.120689655
"Korea, The Democratic Republic of the",0
Denmark,3.773755656
Djibouti,2.375
Dominican Republic,3.360655738
Ecuador,2.996271439
Egypt,1.351791531
El Salvador,3.756097561
Equatorial Guinea,2.166666667
Eritrea,0
Estonia,4.615384615
Ethiopia,0.949367089
Falkland Islands,0
Fiji,3.411764706
Finland,4.368663594
Fr. S. Antarctic Lands,0
France,4.078693137
Gabon,2.849056604
Gambia,4
Georgia,1.95
Germany,3.888266144
Ghana,2.704761905
Greece,3.7675
Greenland,0
Guatemala,3.121004566
Guinea,1.818181818
Guinea-Bissau,0
Guyana,3.266666667
Haiti,1.676470588
Honduras,2.950738916
Hungary,3.893442623
Iceland,4.666666667
India,2.371006527
Indonesia,2.236863379
"Iran, Islamic Republic of",1.301684533
Iraq,1.8125
Ireland,3.760869565
Israel,4.2875
Italy,4.522409157
Jamaica,2.428571429
Japan,3.754716981
Jordan,3.233333333
Kazakhstan,5.111111111
Kenya,3.598566308
"Korea, republic of",2.9
Kosovo,0
Kuwait,4.5
Kyrgyzstan,2
Lao People's Democratic Republic,1.611111111
Latvia,3.227272727
Lebanon,3.098039216
Lesotho,4
Liberia,1.777777778
Libya,0.375
Lithuania,4.333333333
Luxembourg,3.607305936
Macedonia,2.194444444
Madagascar,3.71657754
Malawi,2.615384615
Malaysia,3.858461538
Mali,1.653846154
Mauritania,1.25
Mexico,3.692285383
"Moldova, Republic of",3.75
Mongolia,2.347826087
Montenegro,3
Morocco,2.1631644
Mozambique,2.518518519
Myanmar,1.63963964
N. Cyprus,0
Namibia,4.166666667
Nepal,2.183333333
Netherlands,3.841059603
New Caledonia,4.354609929
New Zealand,4.02044293
Nicaragua,3.065088757
Niger,1.620689655
Nigeria,3.090909091
Norway,3.591836735
Oman,3.105263158
Pakistan,1.914583333
Palestine,0
Panama,3.222857143
Papua New Guinea,2.166666667
Paraguay,3.327402135
Peru,3.142700329
Philippines,3.395833333
Poland,3.953608247
Portugal,3.785488959
Puerto Rico,2.811320755
Qatar,3.939393939
Romania,3.379901961
Russian Federation,4.112299465
Rwanda,2.636363636
South Sudan,4
Saudi Arabia,3.280373832
Senegal,2.322916667
Serbia,4.030150754
Sierra Leone,3.666666667
Slovakia,3.191780822
Slovenia,4.315068493
Solomon Islands,4.5
Somalia,0.181818182
South Africa,3.728632479
South Sudan,4
Spain,3.960519569
Sri Lanka,3.260504202
Sudan,1.243902439
Suriname,1.5
Swaziland,3.4
Sweden,4.014880952
Switzerland,3.968352718
Syrian Arab Republic,2.736842105
Taiwan,3.423076923
Tajikistan,3
"Tanzania, United Republic of",2.430555556
Thailand,2.95
Timor-Leste,0
Togo,2.397260274
Trinidad and Tobago,4.424242424
Tunisia,3.060498221
Turkey,3.72327044
Turkmenistan,0
Uganda,2.616438356
Ukraine,3.77027027
United Arab Emirates,3.225806452
United Kingdom,3.976812733
United States,3.708255159
Uruguay,3.717894737
Uzbekistan,8
Vanuatu,2.333333333
Venezuela,2.888955582
Vietnam,2.371428571
West Sahara,0
Yemen,0
Zambia,2.862068966
Zimbabwe,3.819672131